stt,name,price,other
69,New Pokémon Snap™,Chưa có,"Nintendo Switch: 6.9 GB , Nintendo Switch 2: 6.9 GB , TV mode , Tabletop mode , Handheld mode , Supported , Action , Online Play , Save Data Cloud , Nintendo Switch , Nintendo , Japanese, French, German, Italian, Spanish, Korean, Simplified Chinese, Traditional Chinese, American English , April 30, 2021"
70,BRAVELY DEFAULT™ II,Chưa có,"Nintendo Switch: 12.4 GB , Nintendo Switch 2: 12.4 GB , TV mode , Tabletop mode , Handheld mode , Supported , Role playing , Save Data Cloud , Nintendo Switch , Nintendo , Japanese, British English, French, German, Italian, Spanish, Korean, Simplified Chinese, Traditional Chinese, American English , February 26, 2021"
71,Super Mario™ 3D World + Bowser’s Fury,Chưa có,"Nintendo Switch: 3 GB , Nintendo Switch 2: 3 GB , TV mode , Tabletop mode , Handheld mode , Single System (1-4) , Online (2-4) , Online, Local , Supported , Action , Adventure , Online Play , Save Data Cloud , Nintendo Switch , Nintendo , Japanese, British English, French, German, Italian, Spanish, Korean, Dutch, Portuguese, Russian, Simplified Chinese, Latin American Spanish, Canadian French, Traditional Chinese, American English , February 12, 2021"
72,Fitness Boxing 2: Rhythm & Exercise,Chưa có,"Nintendo Switch: 3.8 GB , Nintendo Switch 2: 3.8 GB , TV mode , Tabletop mode , Single System (1-2) , Supported , Sports , Training , Save Data Cloud , Nintendo Switch , Nintendo , Japanese, French, German, Italian, Spanish, Korean, Simplified Chinese, Traditional Chinese, American English , December 4, 2020"
73,Hyrule Warriors: Age of Calamity,Chưa có,"Nintendo Switch: 11.1 GB , Nintendo Switch 2: 11.1 GB , TV mode , Tabletop mode , Handheld mode , Single System (1-2) , Supported , Action , Save Data Cloud , Nintendo Switch , Nintendo , Japanese, German, Italian, Spanish, Korean, Dutch, Simplified Chinese, Latin American Spanish, Canadian French, Traditional Chinese, American English , November 20, 2020"
74,Animal Crossing: New Horizons Island Transfer Tool,$0.00,"Nintendo Switch: 46 MB , Nintendo Switch 2: 46 MB , TV mode , Tabletop mode , Handheld mode , Application , Nintendo Switch , Nintendo , Japanese, British English, French, German, Italian, Spanish, Korean, Dutch, Russian, Simplified Chinese, Latin American Spanish, Canadian French, Traditional Chinese, American English , November 18, 2020"
75,Pikmin™ 3 Deluxe,Chưa có,"Nintendo Switch: 6.5 GB , Nintendo Switch 2: 6.5 GB , TV mode , Tabletop mode , Handheld mode , Single System (1-2) , Supported , Action , Adventure , Strategy , Online Play , Save Data Cloud , Nintendo Switch , Nintendo , Japanese, British English, French, German, Italian, Spanish, Korean, Simplified Chinese, Latin American Spanish, Canadian French, Traditional Chinese, American English , October 30, 2020"
76,Part Time UFO™,Chưa có,"Nintendo Switch: 194 MB , Nintendo Switch 2: 194 MB , TV mode , Tabletop mode , Handheld mode , Single System (1-2) , Supported , Action , Save Data Cloud , Nintendo Switch , Nintendo , Japanese, British English, French, German, Italian, Spanish, Korean, Simplified Chinese, Latin American Spanish, Canadian French, Traditional Chinese, American English , October 28, 2020"
77,Mario Kart Live: Home Circuit™,Chưa có,"Nintendo Switch: 2 GB , Nintendo Switch 2: 2 GB , TV mode , Tabletop mode , Handheld mode , Single System (1-4) , Supported , Racing , Save Data Cloud , Nintendo Switch , Nintendo , Japanese, British English, French, German, Italian, Spanish, Korean, Dutch, Simplified Chinese, Latin American Spanish, Canadian French, Traditional Chinese, American English , October 16, 2020"
78,Kirby Fighters™ 2,Chưa có,"Nintendo Switch: 1.1 GB , Nintendo Switch 2: 1.1 GB , TV mode , Tabletop mode , Handheld mode , Single System (1-4) , Online (2-4) , Supported , Fighting , Online Play , Save Data Cloud , Nintendo Switch , Nintendo , Japanese, British English, French, German, Italian, Spanish, Korean, Dutch, Simplified Chinese, Latin American Spanish, Canadian French, Traditional Chinese, American English , September 23, 2020"
79,Paper Mario™: The Origami King,Chưa có,"Nintendo Switch: 6.5 GB , Nintendo Switch 2: 6.5 GB , TV mode , Tabletop mode , Handheld mode , Supported , Action , Adventure , Save Data Cloud , Nintendo Switch , Nintendo , Japanese, French, German, Italian, Spanish, Korean, Dutch, Simplified Chinese, Latin American Spanish, Canadian French, Traditional Chinese, American English , July 17, 2020"
